%
% MSNB_S (34.090600 N -77.867900 E)
% The MSBN-S Station is located on the southern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 8.4 feet above the primary sand dune. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded, in part, by grants from the National Science Foundation and U.S. Coastal Research Program. This site/dataset was established on 07/01/2021. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
%
% MSNB_S Wind speed (m/s) @ 0 m (height)
% MSNB_S Rain (day) (m) @ 0 m (height)
%
Time (utc),MSNB_S Wind speed (m/s),MSNB_S Wind speed (m/s) quality,MSNB_S Rain (day) (m),MSNB_S Rain (day) (m) quality
2024-04-07 11:06,3.67,good,0.00,not evaluated
2024-04-07 11:12,3.42,good,0.00,not evaluated
2024-04-07 11:18,3.81,good,0.00,not evaluated
2024-04-07 11:24,3.69,good,0.00,not evaluated
2024-04-07 11:30,3.75,good,0.00,not evaluated
2024-04-07 11:36,3.69,good,0.00,not evaluated
2024-04-07 11:42,3.61,good,0.00,not evaluated
2024-04-07 11:48,3.60,good,0.00,not evaluated
2024-04-07 11:54,3.53,good,0.00,not evaluated
2024-04-07 12:00,3.76,good,0.00,not evaluated
2024-04-07 12:06,3.36,good,0.00,not evaluated
2024-04-07 12:12,3.50,good,0.00,not evaluated
2024-04-07 12:18,3.69,good,0.00,not evaluated
2024-04-07 12:24,3.74,good,0.00,not evaluated
2024-04-07 12:30,3.59,good,0.00,not evaluated
2024-04-07 12:36,3.41,good,0.00,not evaluated
2024-04-07 12:42,3.62,good,0.00,not evaluated
2024-04-07 12:48,3.64,good,0.00,not evaluated
2024-04-07 12:54,3.49,good,0.00,not evaluated
2024-04-07 13:00,3.62,good,0.00,not evaluated
2024-04-07 13:06,3.55,good,0.00,not evaluated
2024-04-07 13:12,3.63,good,0.00,not evaluated
2024-04-07 13:18,3.53,good,0.00,not evaluated
2024-04-07 13:24,3.98,good,0.00,not evaluated
2024-04-07 13:30,3.66,good,0.00,not evaluated
2024-04-07 13:36,3.57,good,0.00,not evaluated
2024-04-07 13:42,3.57,good,0.00,not evaluated
2024-04-07 13:48,3.41,good,0.00,not evaluated
2024-04-07 13:54,3.67,good,0.00,not evaluated
2024-04-07 14:00,3.34,good,0.00,not evaluated
2024-04-07 14:06,3.32,good,0.00,not evaluated
2024-04-07 14:12,3.26,good,0.00,not evaluated
2024-04-07 14:18,3.25,good,0.00,not evaluated
2024-04-07 14:24,2.86,good,0.00,not evaluated
2024-04-07 14:30,2.77,good,0.00,not evaluated
2024-04-07 14:36,3.10,good,0.00,not evaluated
2024-04-07 14:42,3.37,good,0.00,not evaluated
2024-04-07 14:48,3.33,good,0.00,not evaluated
2024-04-07 14:54,3.39,good,0.00,not evaluated
2024-04-07 15:00,3.23,good,0.00,not evaluated
2024-04-07 15:06,3.45,good,0.00,not evaluated
2024-04-07 15:12,3.56,good,0.00,not evaluated
2024-04-07 15:18,2.24,good,0.00,not evaluated
2024-04-07 15:24,3.05,good,0.00,not evaluated
2024-04-07 15:30,3.55,good,0.00,not evaluated
2024-04-07 15:36,3.79,good,0.00,not evaluated
2024-04-07 15:42,3.30,good,0.00,not evaluated
2024-04-07 15:48,3.24,good,0.00,not evaluated
2024-04-07 15:54,3.31,good,0.00,not evaluated
